Customer_ID,Customer_Name,Age,Gender,City,State,Membership_Level,Acquisition_Channel,Customer_Tenure_Days,Total_Orders,Total_Items_Purchased,Total_Spend,Average_Order_Value,Preferred_Category,Website_Visits,App_Sessions,Days_Since_Last_Purchase,Purchase_Frequency_Per_Month,Average_Days_Between_Orders,Coupon_Usage_Rate,Return_Rate,Support_Tickets,Customer_Satisfaction,Preferred_Payment_Method,Future_CLV
CUST100023,Ashok Nair,41,Male,Indore,Madhya Pradesh,Silver,Organic Search,1524,3,6,828.31,276.1,Home & Kitchen,201,164,594,0.059,400,0.217,0.056,1,4.42,Cash on Delivery,200
CUST100024,Madhuri Chatterjee,22,Female,Kolkata,West Bengal,Platinum,Paid Ads,540,18,45,21999.96,1222.22,Sports & Fitness,169,122,14,1,29.44,0.27,0.219,2,4.2,Credit Card,6618.41
CUST100025,Sneha Desai,31,Female,Bengaluru,Karnataka,Platinum,Email Marketing,1350,10,27,4729.29,472.93,Beauty & Personal Care,568,328,94,0.222,109.66,0.557,0.214,2,3.9,UPI,715.42
CUST100026,Suman Kumar,46,Female,Surat,Gujarat,Silver,Organic Search,1563,40,146,39177.33,979.43,Home & Kitchen,80,22,35,0.768,40.38,0.174,0.487,6,2.85,EMI,1465.27
CUST100027,Pooja Sharma,26,Female,Mumbai,Maharashtra,Silver,Paid Ads,715,6,20,4467.28,744.55,Grocery,79,59,250,0.252,122.57,0.641,0.311,0,4.14,Debit Card,281.69
CUST100028,Ravi Agarwal,30,Male,Bengaluru,Karnataka,Silver,Affiliate,1260,16,58,9189.47,574.34,Fashion,107,84,108,0.381,83.07,0.727,0.177,1,4.12,UPI,1057.88
CUST100029,Arjun Menon,22,Male,Delhi,Delhi,Gold,Organic Search,540,5,13,4179.81,835.96,Sports & Fitness,51,31,96,0.278,129.19,0.241,0.259,2,4.33,Credit Card,494.33
CUST100030,Swati Chauhan,37,Female,Kolkata,West Bengal,Silver,Paid Ads,1513,13,28,13125.33,1009.64,Mobile & Accessories,160,125,132,0.258,133.44,0.294,0.289,1,4.34,Credit Card,535.44
CUST100031,Nitin Patel,18,Male,Patna,Bihar,Gold,Social Media,180,2,4,1552.43,776.22,Mobile & Accessories,59,41,70,0.333,82.61,0.39,0.256,5,3.49,UPI,214.21
CUST100032,Shreya Agarwal,26,Female,Madurai,Tamil Nadu,Silver,Affiliate,391,4,8,2929.98,732.49,Fashion,39,29,184,0.307,92.55,0.249,0.383,3,3.32,Credit Card,220.96
CUST100033,Praveen Menon,22,Male,Kozhikode,Kerala,Silver,Referral,540,1,2,573.82,573.82,Fashion,68,37,91,0.056,400,0.47,0.259,4,3.13,Debit Card,200
CUST100034,Karan Desai,29,Male,Surat,Gujarat,Platinum,Referral,1170,32,94,41507.65,1297.11,Fashion,,53,18,0.821,36.34,0.137,0.095,5,3.92,Credit Card,5170.77
CUST100035,Priya Iyer,47,Female,Bengaluru,Karnataka,Silver,Social Media,2538,24,42,11714.73,488.11,Fashion,146,90,119,0.284,114.15,0.203,0.481,4,3.9,UPI,940.91
CUST100036,Harish Patel,35,Male,Nagpur,Maharashtra,Gold,Organic Search,1620,35,59,16064.22,458.98,Grocery,119,83,20,0.648,45.96,0.284,0.191,2,4.28,UPI,455.42
CUST100037,Nandini Chauhan,34,Female,Surat,Gujarat,Silver,Paid Ads,424,16,41,13342.56,833.91,Beauty & Personal Care,15,9,41,1.132,22.6,0.273,0.067,2,4.11,Debit Card,881.02
CUST100038,Siddharth Patel,34,Male,Hubballi,Karnataka,Gold,Social Media,1262,6,18,7069.21,1178.2,Electronics,344,188,46,0.143,243.61,0.452,0.26,4,3.63,EMI,769.45
CUST100039,Vijay Kumar,32,Male,Delhi,Delhi,Platinum,Paid Ads,1440,22,39,19872.79,903.31,Sports & Fitness,310,116,188,0.458,75.7,0.633,0.259,4,3.88,Debit Card,1255.42
CUST100040,Vijay Das,42,Male,Ahmedabad,Gujarat,Silver,Social Media,1061,5,19,4099.37,819.87,Home & Kitchen,151,150,229,0.141,192.79,0.419,0.201,2,4.24,Credit Card,623.7
CUST100041,Ganesh Rao,38,Male,Hyderabad,Telangana,Gold,Affiliate,1208,22,32,21758.25,989.01,Sports & Fitness,432,161,102,0.546,54.58,0.185,0.242,0,4.73,Credit Card,1577.52
CUST100042,Suman Joshi,22,Female,Delhi,Delhi,Platinum,Organic Search,540,10,27,6782.69,678.27,Beauty & Personal Care,188,112,51,0.556,62.82,0.703,0.38,5,3.48,Debit Card,587.96
CUST100043,Rakesh Shah,17,Male,Coimbatore,Tamil Nadu,Gold,Organic Search,90,2,4,2045.91,1022.95,Mobile & Accessories,11,7,14,0.667,45.72,0.24,0.393,1,4.22,Credit Card,370.37
CUST100044,Suresh Bose,34,Male,Hyderabad,Telangana,Silver,Affiliate,1620,9,30,7486.69,831.85,Books,77,52,179,0.167,166.95,0.621,0.281,0,4.53,UPI,591.01
CUST100045,Rahul Mishra,36,Other,Hyderabad,Telangana,Gold,Affiliate,1800,11,31,10566.42,960.58,Home & Kitchen,27,11,26,0.183,211.25,0.544,0.233,1,3.61,EMI,1038.01
CUST100046,Abhishek Chauhan,18,Male,Thiruvananthapuram,Kerala,Silver,Email Marketing,180,2,8,1585.2,792.6,Fashion,9,8,265,0.333,98.83,0.701,0.127,2,4.37,Credit Card,200
CUST100047,Nitin Reddy,32,Male,Chennai,Tamil Nadu,Silver,Organic Search,765,12,23,11865.68,988.81,Beauty & Personal Care,122,104,102,0.471,64.61,0.245,0.159,2,3.83,EMI,619.18
CUST100048,Anita Agarwal,31,Female,Delhi,Delhi,Silver,Social Media,910,6,15,2223.93,370.66,Home & Kitchen,195,142,36,0.198,160.85,0.107,0.157,0,3.98,Cash on Delivery,253.66
CUST100049,Pooja Chauhan,26,Female,Bengaluru,Karnataka,Gold,Organic Search,841,3,7,5635.15,1878.38,Home & Kitchen,243,158,239,0.107,312.74,0.562,0.312,2,3.78,EMI,563.23
CUST100050,Suresh Pillai,41,Male,Bengaluru,Karnataka,Silver,Social Media,344,2,5,740.08,370.04,Electronics,27,11,50,0.174,171.07,0.2,0.086,2,3.77,UPI,200
CUST100051,Shreya Bansal,19,Female,Mumbai,Maharashtra,Gold,Paid Ads,270,6,9,4906.83,817.81,Books,70,44,37,0.667,44.88,0.763,0.355,1,3.86,Credit Card,497.71
CUST100052,Ajay Kumar,56,Male,Howrah,West Bengal,Gold,Social Media,732,10,21,4145.55,414.55,Home & Kitchen,43,21,17,0.41,92.36,0.145,0.073,0,5,,662.44
CUST100053,Ajay Gupta,23,Male,Delhi,Delhi,Platinum,Paid Ads,630,10,12,13625.51,1362.55,Sports & Fitness,113,64,26,0.476,69.94,0.451,0.273,2,4.5,Credit Card,1564.44
CUST100054,Manoj Joshi,36,Male,Delhi,Delhi,Platinum,Paid Ads,1800,61,155,58329.57,956.22,Fashion,377,166,58,1.017,30.32,0.326,0.33,2,3.86,EMI,4906.15
CUST100055,Pallavi Pandey,34,Female,Kolkata,West Bengal,Gold,Social Media,1348,17,62,10198.8,599.93,Electronics,90,54,523,0.378,87.28,0.367,0.015,0,4.36,Credit Card,912.57
CUST100056,Ganesh Chatterjee,41,Male,Surat,Gujarat,Silver,Email Marketing,1096,4,8,1434.37,358.59,Fashion,61,44,152,0.109,243.81,0.296,0.148,2,4.12,UPI,200
CUST100057,Vidya Pillai,45,Female,Lucknow,Uttar Pradesh,Silver,Paid Ads,1448,28,73,7762.32,277.23,Sports & Fitness,94,40,8,0.58,62.43,0.651,0.199,3,3.88,UPI,599.17
CUST100058,Sanjay Agarwal,29,Male,Bengaluru,Karnataka,Silver,Email Marketing,644,9,18,7895.1,877.23,Electronics,80,42,24,0.419,68.8,0.25,0.326,3,3.34,Debit Card,880.28
CUST100059,Aditya Yadav,33,Male,Nagpur,Maharashtra,Gold,Referral,1530,20,35,14063.84,703.19,Electronics,201,95,69,0.392,72.12,0.195,0.32,4,4.37,Credit Card,996.26
CUST100060,Swati Chatterjee,29,Female,Delhi,Delhi,Silver,Organic Search,1170,26,33,16742.78,643.95,Beauty & Personal Care,218,104,142,0.667,45.71,0.471,0.54,2,3.87,UPI,1185.33
CUST100061,Priya Shah,24,Other,Surat,Gujarat,Silver,Social Media,720,4,12,2578.24,644.56,Electronics,97,42,347,0.167,155.65,0.635,0.362,1,3.62,Credit Card,255.67
CUST100062,Vikram Desai,32,Male,Lucknow ,Uttar Pradesh,Gold,Social Media,1148,9,22,5450.24,605.58,Fashion,78,68,35,0.235,130.96,0.295,0.354,1,3.64,UPI,615.68
CUST100063,Siddharth Agarwal,32,Male,Kolkata,West Bengal,Gold,Paid Ads,1440,12,28,18353.71,1529.48,Grocery,66,19,206,0.25,125.92,0.328,0.217,2,4.47,Credit Card,1816.57
CUST100064,Swati Agarwal,32,Female,Noida,Uttar Pradesh,Gold,Organic Search,1440,29,80,17643.61,608.4,Electronics,325,275,75,0.604,41.35,0.006,0.433,5,3.54,Credit Card,1324.51
CUST100065,Anjali Desai,29,Female,Jodhpur,Rajasthan,Platinum,Paid Ads,958,21,48,12577.72,598.94,Mobile & Accessories,256,232,184,0.658,42.3,0.395,0.298,2,4.37,Credit Card,1021.4
CUST100066,Sandeep Bhatt,35,Male,Lucknow,Uttar Pradesh,Gold,Referral,1678,39,77,28599.65,733.32,Home & Kitchen,177,95,1,0.697,44.94,0.277,0.36,0,4.57,UPI,2102.74
CUST100067,Ravi Patel,38,Male,Coimbatore,Tamil Nadu,Gold,Organic Search,393,9,24,7342.58,815.84,Electronics,67,57,46,0.687,57.81,0.477,0.6,5,3.41,UPI,493.92
CUST100068,Sneha Shah,22,Female,Mumbai,Maharashtra,Platinum,Social Media,540,9,22,8523.99,947.11,Grocery,32,21,20,0.5,56.73,0.408,0.374,1,3.59,EMI,969.91
CUST100069,Karan Yadav,37,Male,Ahmedabad,Gujarat,Gold,Referral,1747,17,36,10948.92,644.05,Mobile & Accessories,253,200,407,0.292,93.32,0.564,0.6,2,3.07,UPI,576.21
CUST100070,Aditya Menon,44,Male,Mysuru,Karnataka,Platinum,Paid Ads,2520,85,267,38109.2,448.34,Electronics,1334,876,43,1.012,30.28,0.528,0.191,1,3.94,Debit Card,3247.95
CUST100071,Ganesh Tiwari,22,Male,Ahmedabad,Gujarat,Silver,Organic Search,165,4,10,3845.73,961.43,Home & Kitchen,29,20,4,0.727,41.63,0.473,0.158,3,3.86,Net Banking,555.95
CUST100072,Anil Rao,33,Male,Hyderabad,Telangana,Silver,Organic Search,475,7,17,4190.59,598.66,Sports & Fitness,36,24,56,0.442,75.49,0.082,0.564,1,3.92,UPI,327.05
CUST100073,Nandini Agarwal,36,Female,Chennai,Tamil Nadu,Gold,Organic Search,1800,19,45,23023.58,1211.77,Electronics,482,197,193,0.317,88.06,0.535,0.195,2,4.17,Credit Card,1313.17
CUST100074,Arjun Yadav,38,Male,Mumbai,Maharashtra,Gold,Paid Ads,904,14,30,6010.56,429.33,Mobile & Accessories,92,67,62,0.465,64.38,0.563,0.38,1,4.08,Debit Card,435.64
CUST100075,Divya Naidu,39,Female,Chennai,Tamil Nadu,Gold,Affiliate,2070,39,84,26395.02,676.8,Fashion,219,135,,0.565,52.16,0.339,0.127,1,4.43,UPI,2606.63
CUST100076,Deepak Desai,42,Male,Coimbatore,Tamil Nadu,Gold,Email Marketing,1856,28,47,10680.98,381.46,Mobile & Accessories,139,105,41,0.453,75.87,0.348,0.3,4,3.41,UPI,764.44
CUST100077,Kiran Reddy,33,Male,Delhi,Delhi,Gold,Referral,1530,39,122,18823.48,482.65,Mobile & Accessories,227,187,4,0.765,33.43,0.58,0.214,2,4.09,UPI,1520
CUST100078,Ritu Mehta,24,Female,Jodhpur,Rajasthan,Silver,Referral,720,4,8,1250.16,312.54,Beauty & Personal Care,172,129,546,0.167,156.14,0.167,0.093,0,4.08,UPI,200
CUST100079,Praveen Bansal,29,Male,Kolkata,West Bengal,Gold,Email Marketing,1106,21,37,17993.26,856.82,Fashion,133,94,74,0.57,63.93,0.297,0.165,2,4.28,Credit Card,1380.6
CUST100080,Amit Kulkarni,44,Male,Delhi,Delhi,Gold,Organic Search,2500,40,80,52570.39,1314.26,Beauty & Personal Care,697,379,564,0.48,54.81,0.304,0.131,2,4.6,EMI,1947.76
CUST100081,Rakesh Patel,25,Male,Ahmedabad,Gujarat,Gold,Paid Ads,810,11,22,9281.32,843.76,Home & Kitchen,158,101,160,0.407,72.15,0.564,0.255,2,3.72,UPI,627.75
CUST100082,Deepika Joshi,36,Female,Hyderabad,Telangana,Gold,Social Media,380,8,19,5513.85,689.23,Home & Kitchen,98,78,358,0.632,47.54,0.745,0.069,2,4.13,Credit Card,474.3
CUST100083,Anjali Thakur,39,Female,Bengaluru,Karnataka,Gold,Referral,49,1,3,741.2,741.2,Fashion,22,17,30,0.612,48.85,0.472,0.211,3,4.13,UPI,200
CUST100084,Pallavi Verma,37,Female,Mumbai,Maharashtra,Platinum,Social Media,1252,17,48,6315.02,371.47,Electronics,222,93,51,0.407,91.75,0.508,0.123,3,4.27,Cash on Delivery,862.2
CUST100085,Shreya Pillai,39,Female,Pune,Maharashtra,Silver,Organic Search,659,6,16,4328.36,721.39,Fashion,73,48,317,0.273,92.17,0.395,0.248,1,3.54,Debit Card,291.62
CUST100086,Anil Pillai,32,Male,Delhi,Delhi,Silver,Organic Search,780,10,23,7096.64,709.66,Home & Kitchen,59,41,20,0.385,80.99,0.59,0.108,2,4.66,Debit Card,717.36
CUST100087,Anita Yadav,31,Female,Surat,Gujarat,Gold,Social Media,1200,15,45,6200.97,413.4,Beauty & Personal Care,49,24,166,0.375,94.79,0.26,0.261,1,4.62,UPI,499.34
CUST100088,Karan Rao,47,Male,Bengaluru,Karnataka,Platinum,Organic Search,2240,27,27,17072.07,632.3,Fashion,288,140,161,0.362,79.96,0.432,0.084,3,4.27,UPI,1682.02
CUST100089,Manish Menon,48,Male,Jaipur,Rajasthan,Silver,Paid Ads,198,1,2,942.28,942.28,Electronics,34,18,33,0.152,221.97,0.074,0.382,4,3.59,EMI,200
CUST100090,Divya Das,44,Female,Bengaluru,Karnataka,Platinum,Social Media,1748,68,143,145737.33,2143.2,Mobile & Accessories,549,374,27,1.167,29.06,0.203,0.108,3,4.42,Net Banking,10508.65
CUST100091,Pankaj Shah,36,Male,Delhi,Delhi,Platinum,Organic Search,1800,75,171,63532.66,847.1,Electronics,515,221,19,1.25,28.82,0.491,0.082,2,4.52,UPI,5980.51
CUST100092,Sandeep Naidu,27,Male,Surat,Gujarat,Gold,Email Marketing,534,9,31,8324.02,924.89,Electronics,180,94,102,0.506,63.66,0.522,0.448,5,3,UPI,623.79
CUST100093,Rahul Chauhan,33,Male,Thiruvananthapuram,Kerala,Silver,Email Marketing,1530,9,20,3584.69,398.3,Electronics,147,50,686,0.176,187.02,0.095,0.502,4,3.51,UPI,209.79
CUST100094,Shreya Singh,31,Female,Coimbatore,Tamil Nadu,Gold,Referral,1350,11,26,6196.81,563.35,Mobile & Accessories,215,151,11,0.244,118.57,0.769,0.103,1,4.25,UPI,1189.77
CUST100095,Madhuri Mehta,41,Female,Noida,Uttar Pradesh,Gold,Email Marketing,858,4,9,3973.66,993.42,Mobile & Accessories,170,88,214,0.14,208.43,0.481,0.123,2,4.36,Net Banking,431.39
CUST100096,Sarika Sharma,35,Female,Kozhikode,Kerala,Silver,Organic Search,655,1,3,313.18,313.18,Grocery,20,14,231,0.046,400,0.562,0.205,0,4.3,Cash on Delivery,200
CUST100097,Manoj Gupta,37,Male,Pune,Maharashtra,Gold,Paid Ads,1716,30,54,9763.32,325.44,Fashion,241,136,302,0.524,53.84,0.48,0.372,4,3.41,UPI,472.54
CUST100098,Sanjay Pillai,32,Male,Nagpur,Maharashtra,Silver,Organic Search,1440,11,27,6715.26,610.48,Fashion,77,50,126,0.229,127.97,0.324,0.248,3,4.14,Debit Card,651.21
CUST100099,Nandini Kulkarni,,Female,Patna,Bihar,Silver,Paid Ads,180,1,2,426.59,426.59,Electronics,20,12,447,0.167,158.98,0.306,0.417,3,3.42,Debit Card,200
CUST100100,Ganesh Mishra,42,Male,Indore,Madhya Pradesh,Gold,Referral,333,6,9,3634.63,605.77,Home & Kitchen,36,21,62,0.541,54.75,0.234,0.385,3,3.35,UPI,470.36
CUST100101,Aditya Iyer,31,Male,Delhi,Delhi,Silver,Paid Ads,692,10,24,4078.42,407.84,Home & Kitchen,158,75,93,0.434,73.87,0.259,0.19,6,3.58,UPI,343.81
CUST100102,Suresh Nair,40,Male,Chennai,Tamil Nadu,Silver,Organic Search,1765,13,26,7537.1,579.78,Beauty & Personal Care,98,68,61,0.221,134.78,0.476,0.117,1,3.94,UPI,449.38
CUST100103,Kiran Pillai,29,Male,Patna,Bihar,Gold,Affiliate,1170,19,26,18107.95,953.05,Home & Kitchen,423,270,76,0.487,50.91,0.279,0.442,4,4.1,Credit Card,1387.75
CUST100104,Ajay Gupta,45,Male,Kolkata,West Bengal,Platinum,Affiliate,1934,39,103,73125.01,1875,Mobile & Accessories,168,131,47,0.605,53.58,0.915,0.292,2,4.34,EMI,5753.87
CUST100105,Nisha Yadav,28,Female,Delhi,Delhi,Silver,Email Marketing,940,23,55,6080.17,264.36,Grocery,67,43,26,0.734,50.38,0.295,0.313,4,4.13,Debit Card,512.94
CUST100106,Pooja Das,31,Female,Surat,Gujarat,Silver,Social Media,1350,16,40,15876.67,992.29,Fashion,325,191,26,0.356,74.72,0.223,0.334,4,3.29,EMI,1407.53
CUST100107,Aditya Joshi,32,Other,Chennai,Tamil Nadu,Silver,Organic Search,893,7,20,2019.54,288.51,Electronics,123,83,117,0.235,95.23,0.179,0.146,4,4.15,UPI,207.34
CUST100108,Ajay Mishra,20,Male,Pune,Maharashtra,Silver,Organic Search,360,4,15,2684.31,671.08,Beauty & Personal Care,67,54,71,0.333,83.83,0.425,0.124,1,3.67,UPI,269.6
CUST100109,Abhishek Bose,35,Male,Indore,Madhya Pradesh,Gold,Organic Search,1075,20,40,12136.17,606.81,Sports & Fitness,183,78,72,0.558,61.07,0.171,0.44,5,3.32,UPI,949.09
CUST100110,Kavita Gupta,39,Female,Surat,Gujarat,Silver,Social Media,1197,13,13,17029.56,1309.97,Beauty & Personal Care,83,26,50,0.326,98.75,0.95,0.465,0,3.78,EMI,973.01
CUST100111,Naveen Reddy,35,Male,Bengaluru,Karnataka,Platinum,Organic Search,975,2,5,3686.39,1843.19,Beauty & Personal Care,142,76,61,0.062,400,0.126,0.201,0,4.09,Credit Card,1236.31
CUST100112,Pallavi Mehta,51,Female,Coimbatore,Tamil Nadu,Gold,Referral,357,5,9,6068.97,1213.79,Beauty & Personal Care,63,51,74,0.42,70.65,0.587,0.42,5,3.52,EMI,358.62
CUST100113,Anjali Nair,25,Female,Lucknow,Uttar Pradesh,Silver,Social Media,242,3,7,1390.8,463.6,Home & Kitchen,32,19,94,0.372,72.66,0.224,0.184,1,3.96,Debit Card,200
CUST100114,Vijay Bose,18,Male,Bengaluru,Karnataka,Silver,Social Media,180,1,2,412.94,412.94,Grocery,44,24,145,0.167,176.33,0.677,0.538,3,3.4,UPI,200
CUST100115,Ajay Sharma,22,Male,Hyderabad,Telangana,Silver,Social Media,540,7,15,3741.54,534.51,Grocery,73,63,123,0.389,80.95,0.355,0.199,1,4.76,UPI,317.33
CUST100116,Pankaj Nair,33,Male,Kolkata,West Bengal,Platinum,Referral,1530,53,234,37059.46,699.24,Mobile & Accessories,178,107,37,1.039,29.73,0.344,0.111,3,4.29,Debit Card,3408.83
CUST100117,Deepika Tiwari,42,Female,Delhi,Delhi,Silver,Affiliate,1241,12,39,3606.85,300.57,Books,179,92,139,0.29,113.68,0.38,0.408,0,3.83,UPI,391.95
CUST100118,Suresh Iyer,33,Male,Ahmedabad,Gujarat,Gold,Email Marketing,1530,35,63,16951.4,484.33,Electronics,208,119,25,0.686,41.76,0.477,0.212,2,4.13,Cash on Delivery,652.5
CUST100119,Praveen Sharma,28,Male,Noida,Uttar Pradesh,Gold,Referral,1080,18,48,6371.41,353.97,Fashion,346,268,51,0.5,56.23,0.64,0.249,1,4.09,UPI,983.97
CUST100120,Nitin Das,44,Male,Lucknow,Uttar Pradesh,Silver,Organic Search,1109,17,38,5501.25,323.6,Grocery,193,89,101,0.46,51.05,0.475,0.311,3,3.87,UPI,535.1
CUST100121,Divya Yadav,31,Female,Delhi,Delhi,Platinum,Organic Search,1350,22,42,20508.24,932.19,Electronics,376,270,65,0.489,63.79,0.291,0.463,0,4.18,Debit Card,2533.04
CUST100122,Nandini Rao,21,Female,Pune,Maharashtra,Silver,Referral,450,1,3,814.29,814.29,Home & Kitchen,111,77,900,0.067,400,0.416,0.374,2,3.55,Debit Card,200
CUST100123,Swati Singh,40,Female,Ahmedabad,Gujarat,Silver,Paid Ads,1067,17,42,26934.17,1584.36,Sports & Fitness,250,149,34,0.478,65.77,0.616,0.215,2,3.95,Net Banking,2006.45
CUST100124,Nandini Chauhan,37,Female,Mumbai,Maharashtra,Gold,Organic Search,1151,23,29,23326.75,1014.21,Home & Kitchen,146,100,27,0.599,49.31,0.262,0.267,2,3.89,Credit Card,1430.89
CUST100125,Vijay Pandey,34,Male,Jaipur,Rajasthan,Silver,Referral,1615,31,72,8357.27,269.59,Sports & Fitness,109,59,31,0.576,53.03,0.584,0.335,1,4.35,Debit Card,503.53
CUST100126,Abhishek Patel,45,Male,Madurai,Tamil Nadu,Silver,Organic Search,425,4,8,3092.63,773.16,Home & Kitchen,42,26,105,0.282,85.88,0.646,0.324,4,3.22,Debit Card,200
CUST100127,Manoj Nair,31,Male,Bengaluru,Karnataka,Silver,Social Media,1350,7,19,6652.53,950.36,Fashion,120,63,88,0.156,215.19,0.068,0.284,2,3.7,Net Banking,521.94
CUST100128,Neha Rao,34,Female,Pune,Maharashtra,Silver,Organic Search,1442,12,42,4634.41,386.2,Grocery,112,51,42,0.25,113.52,0.186,0,2,4.18,Debit Card,517.9
CUST100129,Vandana Tiwari,24,Female,Lucknow,Uttar Pradesh,Silver,Paid Ads,668,3,12,1354.19,451.4,Fashion,51,40,223,0.135,214.67,0.483,0.447,2,3.8,Debit Card,200
CUST100130,Vikram Mehta,26,Male,Bengaluru,Karnataka,Gold,Paid Ads,900,5,15,3664.22,732.84,Fashion,82,67,54,0.167,170.82,0.714,0.6,6,3.22,Debit Card,289.48
CUST100131,Neha Yadav,28,Female,Chandigarh,Punjab,Silver,Referral,287,2,5,538.41,269.2,Home & Kitchen,36,25,263,0.209,122.58,0.821,0.166,1,3.92,Cash on Delivery,200
CUST100132,Vijay Chatterjee,38,Male,Lucknow,Uttar Pradesh,Platinum,Paid Ads,1010,20,29,10587.54,529.38,Fashion,151,60,518,0.594,50.4,0.546,0.285,2,4.2,Cash on Delivery,874.24
